00040|Trinomial Tree Option Pricing,V_0 = e^{-rΔt} [p_u ∑ V_u + p_m ∑ V_m + p_d ∑ V_d],Option Pricing,Trinomial tree extension of binomial model with three branches per node, providing improved stability and convergence for option pricing applications. **Mathematical Foundation**: Asset price evolves to uS, mS, dS with probabilities p_u, p_m, p_d where typically m=1, u=e^{σ√{2Δt}}, d=e^{-σ√{2Δt}}. Risk-neutral probabilities ensure e^{-rΔt} 𝔼[V_{n+1}] = V_n. **Key Assumptions**: Three-state branching, recombining tree, constant parameters, European or American exercise. **Practical Applications**: Option pricing with better convergence, barrier option valuation, multi-asset option pricing. **Limitations**: Increased computational complexity; still discrete approximation. **Implementation**: Recombining structure reduces memory requirements; backward induction for pricing. **Related Concepts**: Binomial trees with two branches; implicit finite difference methods.
00041|Student-t Copula Dependence Model,C(u_1 u_2; ρ ν) = t_{ν ρ}(t_ν^{-1}(u_1) t_ν^{-1}(u_2)),Option Pricing,Copula model with Student-t marginal distributions capturing fat tails and tail dependence, more realistic for extreme market events than Gaussian copula. **Mathematical Foundation**: The t-copula C(u,v;ρ,ν) = ∫_{-∞}^{t_ν^{-1}(u)} ∫_{-∞}^{t_ν^{-1}(v)} (1 + (x² - 2ρxy + y²)/(ν(1-ρ²)))/^{(ν+2)/2} dx dy / (2π √(1-ρ²)). Degrees of freedom ν control tail thickness. **Key Assumptions**: Student-t marginals, constant correlation, elliptical dependence structure. **Practical Applications**: Risk management for tail events, CDO pricing with fat tails, portfolio stress testing, extreme value analysis. **Limitations**: Elliptical structure may not capture asymmetric dependence; estimation challenging with high dimensions. **Implementation**: Numerical integration or approximation methods; special cases for ν=∞ reduce to Gaussian copula. **Related Concepts**: Clayton copula for asymmetric dependence; Gumbel copula for extreme value modeling.
00042|Arbitrage Pricing Theory with Idiosyncratic Risk,𝔼[R_i] = r_f + ∑_{j=1}^k β_{ij} λ_j + θ_i σ_{ε i},Option Pricing,Extended APT incorporating compensation for idiosyncratic risk, recognizing that non-systematic risk may also be priced in incomplete markets. **Mathematical Foundation**: The APT states 𝔼[R_i] - r_f = ∑ β_{ij} λ_j where λ_j are risk premia. Extension adds θ_i σ_{ε i} for idiosyncratic risk premium, where σ_{ε i} is firm-specific volatility. **Key Assumptions**: Linear factor model, no arbitrage, constant risk premia, priced idiosyncratic risk. **Practical Applications**: Multi-factor asset pricing, risk management, portfolio optimization, performance attribution. **Limitations**: Identification of priced factors; empirical evidence mixed for idiosyncratic risk pricing. **Implementation**: Factor model estimation, cross-sectional regression for λ_j estimation. **Related Concepts**: Fama-French three-factor model; Carhart four-factor model including momentum.
00043|Effective Duration for Embedded Options,D_{Eff} = -(1/P) [P(y+Δy) - P(y-Δy)]/(2Δy),Option Pricing,Numerical duration calculation for bonds with embedded options, capturing the effective interest rate sensitivity including prepayment and call risk. **Mathematical Foundation**: Effective duration measures percentage price change for parallel yield curve shift, accounting for option exercise behavior. D_Eff = - (P_- - P_+)/(2P_0 Δy) where P_± are prices at shifted yields. **Key Assumptions**: Parallel yield curve shifts, option-adjusted spread, constant volatility. **Practical Applications**: MBS valuation, callable bond risk management, portfolio immunization, hedging strategies. **Limitations**: Assumes parallel shifts; option-adjusted spread required for accuracy. **Implementation**: Numerical differentiation with option-adjusted pricing models. **Related Concepts**: Modified duration for straight bonds; key rate duration for non-parallel shifts.
00044|Hull-White Extended Vasicek Model,dr_t = (θ(t) - κ r_t) dt + σ dW_t^ℚ,Option Pricing,Time-dependent extension of Vasicek model allowing exact calibration to observed yield curves through deterministic drift function θ(t). **Mathematical Foundation**: The drift θ(t) = ∂f(0,t)/∂t + κ f(0,t) + (σ²/(2κ²))(1 - e^{-2κ t}) ensures perfect fit to initial term structure. Under risk-neutral measure: d r = (θ(t) - κ r) dt + σ dW. **Key Assumptions**: Gaussian process with time-dependent drift, constant volatility and mean reversion. **Practical Applications**: Interest rate derivative pricing, yield curve modeling, risk management, model calibration. **Limitations**: Allows negative rates; volatility structure may not fit empirical data. **Implementation**: θ(t) solved from yield curve; analytical bond prices available. **Related Concepts**: Black-Derman-Toy with lognormal distribution; Cheyette model with state-dependent volatility.
00045|OIS Swap Valuation Framework,V_{OIS} = ∑_{i=1}^n (1/n ∑_{j ∈ period i} r_{oj}) P(0 T_i) - ∑_{i=1}^n R_{fixed} δ_i P(0 T_i),Option Pricing,Overnight Index Swap valuation using compounded overnight rates versus fixed coupons, representing post-crisis benchmark for risk-free discounting. **Mathematical Foundation**: OIS floating leg = ∑ [∏_{j=1}^n (1 + r_{oj} δ_j) - 1] × δ_i where δ are day fractions. Fixed leg = ∑ R_{fixed} δ_i. Both discounted at OIS rates. **Key Assumptions**: Risk-free OIS discounting, deterministic compounding conventions, no counterparty risk. **Practical Applications**: Interest rate swap pricing, collateralized derivative valuation, funding cost calculation, risk management. **Limitations**: Basis risk between OIS and LIBOR; model risk in extrapolation. **Implementation**: Requires OIS curve bootstrapping; analytical for standard swaps. **Related Concepts**: LIBOR swaps with basis adjustments; cross-currency basis swaps.
00046|CBOE VIX Index Calculation,VIX² = (2/T) ∑_i (ΔK_i/K_i²) e^{rT} Q(K_i) - (1/T)(F/K_0 - 1)²,Option Pricing,Model-free volatility index calculation using SPX option prices, providing market expectation of 30-day volatility without model assumptions. **Mathematical Foundation**: VIX = 100 × √[ (2/T) ∑ ΔK_i e^{rT} Q(K_i)/K_i² - (1/T)(F/K_0 - 1)² ] where Q(K_i) are risk-neutral option prices, ΔK_i are strike intervals. **Key Assumptions**: Complete option market, risk-neutral pricing, continuous monitoring. **Practical Applications**: Market volatility measurement, volatility trading, risk management, market sentiment indicator. **Limitations**: Requires dense strike coverage; discretization error from finite strikes. **Implementation**: Numerical integration approximation; updated twice daily by CBOE. **Related Concepts**: Realized volatility from historical prices; implied volatility from single options.
00047|Key Rate Duration Numerical Calculation,∂P/∂y_{t_i} ≈ -[P(y_{t_i}+Δ) - P(y_{t_i}-Δ)]/(2Δ) × (1/P),Option Pricing,Numerical calculation of key rate duration measuring sensitivity to specific points on the yield curve, enabling targeted hedging of non-parallel shifts. **Mathematical Foundation**: Key rate duration at maturity t_i is ∂P/∂y_{t_i} ≈ - [P(y_{t_i}+Δ) - P(y_{t_i}-Δ)]/(2P Δ) where P are prices at perturbed yields. Sum of key rate durations equals modified duration. **Key Assumptions**: Local yield curve perturbations, additive effects, small perturbation size. **Practical Applications**: Bond portfolio hedging, yield curve risk management, immunization strategies, risk attribution. **Limitations**: Assumes additive key rate effects; correlation between key rates ignored. **Implementation**: Finite difference approximation; requires repricing for each key rate shock. **Related Concepts**: Effective duration for parallel shifts; principal component analysis for systematic factors.
00048|Least-Squares Monte Carlo for American Options,V_j = max(Exercise_j e^{-rΔt} 𝔼[V_{j+1}|S_j]),Option Pricing,Regression-based method for pricing American options under high-dimensional state variables, using least squares to estimate continuation values. **Mathematical Foundation**: Backward induction: at each exercise date, compare immediate exercise value with expected continuation value. 𝔼[V_{j+1}|S_j] approximated by regression V_{j+1} = ∑ β_k ψ_k(S_j) using basis functions ψ_k. **Key Assumptions**: Markovian state variables, sufficient simulation paths, appropriate basis functions. **Practical Applications**: American option pricing, Bermudan swaption valuation, real options analysis, pension guarantee valuation. **Limitations**: Regression bias with poor basis functions; computational intensity for high dimensions. **Implementation**: Large Monte Carlo simulation followed by backward regression; cross-validation for basis selection. **Related Concepts**: Longstaff-Schwartz original algorithm; Andersen broadie with upper/lower bounds.
00049|European Call Theta Calculation,Θ_{call} = -(S_t φ(d_1) σ)/(2√{T-t}) - rK e^{-r(T-t)} Φ(d_2),Option Pricing,Time decay calculation for European calls showing the rate at which option value decreases as expiration approaches, decomposed into volatility and interest components. **Mathematical Foundation**: Θ_call = ∂C/∂t = - (S φ(d₁) σ)/(2√τ) - r K e^{-rτ} Φ(d₂) where τ = T-t. The first term represents time value decay from volatility, the second from discounting. **Key Assumptions**: Black-Scholes dynamics, small time changes, European exercise. **Practical Applications**: Option strategy timing, portfolio decay management, theta scalping strategies. **Limitations**: Higher-order effects for large time changes; assumes model accuracy. **Implementation**: Analytical formula; theta accelerates as expiration approaches. **Related Concepts**: Put theta has opposite sign for discounting term; American options have additional early exercise component.
